"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.048333336E-4,1.326677683E-1,-2.431900844E-1,-3.305349147E-1
1.023983333E-2,9.767240189E-2,-1.976586932E-1,-2.950218505E-1
2.027483333E-2,4.035667844E-2,-1.100893298E-1,-2.599192607E-1
3.030983334E-2,4.010393254E-2,-2.092455357E-2,-3.287006432E-1
4.034383334E-2,-9.180472098E-2,-6.162380576E-2,-5.099228132E-1
5.037883334E-2,-1.319321886E-1,-6.462927461E-2,-3.583273154E-1
6.041383334E-2,-2.280738625E-1,-6.977862507E-2,-2.732017958E-1
7.044883334E-2,-2.465693730E-1,1.814996204E-1,-7.149449050E-2
8.048383334E-2,-2.978819429E-1,9.775228947E-2,-3.596616501E-1
9.051883333E-2,-2.555982049E-1,9.639485836E-2,-3.507031310E-1
1.005528333E-1,8.065389801E-2,5.290531486E-2,-3.651293814E-2
1.105878333E-1,1.745906783E-1,-7.493762344E-2,1.268103200E-1
1.206228333E-1,2.140959656E-1,-1.256566644E-1,3.057783884E-1
1.306578333E-1,3.275205289E-1,-2.268485785E-2,4.861989051E-1
1.406928333E-1,3.115584707E-1,-4.199382573E-2,2.709780997E-1
1.507278333E-1,3.281082106E-1,-9.194454253E-3,1.739605129E-1
1.607618333E-1,1.657357828E-1,-8.660720408E-2,9.805195928E-2
1.707968333E-1,2.357534128E-1,-7.753934205E-2,9.686614394E-2
1.808318333E-1,2.300611118E-1,-3.891760558E-2,-1.371639848E-2
1.908668333E-1,2.211549436E-3,-2.419402421E-2,-6.276986003E-3
2.009018333E-1,-5.750526460E-2,5.605316341E-2,2.880548930E-1
2.109368333E-1,-6.337020462E-2,1.390213528E-1,3.940707600E-1
2.209708333E-1,3.338116030E-2,2.656053856E-1,1.860221493E-1
2.310058333E-1,-3.022359990E-2,3.165667936E-1,-5.819733739E-3
2.410408333E-1,-3.980534082E-2,2.028422499E-1,-7.681019425E-2
2.510758333E-1,1.902928643E-1,8.972844779E-2,-2.403720188E-1
2.611108333E-1,3.241061204E-1,-6.759673655E-3,-1.883961189E-1
2.711458333E-1,3.040568950E-1,-6.986370206E-2,-2.158967435E-2
2.811797083E-1,3.103759810E-1,-8.863501847E-2,2.369706935E-1
2.912147083E-1,2.853587602E-1,-4.761329234E-2,4.424178779E-1
3.012497083E-1,2.615143629E-1,7.087702453E-3,5.325006670E-1
3.112847083E-1,1.319299045E-1,-8.346900344E-3,4.671241182E-1
3.213197083E-1,1.384712212E-1,-6.423897296E-2,3.868763459E-1
3.313547083E-1,1.259453158E-1,-7.502094626E-2,3.796895331E-1
3.413897083E-1,1.056954213E-1,-8.388883352E-2,1.891714597E-1
3.514237083E-1,1.112902017E-1,-1.131336826E-1,4.718703032E-4
3.614587083E-1,7.336157955E-2,-1.397879228E-1,-2.009834200E-1
3.714937083E-1,4.036152067E-2,-1.658738136E-1,-2.694765347E-1
3.815287083E-1,2.010303805E-2,-1.642216828E-1,-2.271193045E-1
3.915637083E-1,2.386893729E-2,-1.499571079E-1,-1.650633895E-1
4.015977083E-1,3.109395795E-2,-1.425925398E-1,-9.126100302E-2
4.116327083E-1,5.317333661E-2,-1.603075567E-1,-8.048750818E-2
4.216677083E-1,4.573290087E-3,-1.243138513E-1,-1.103778899E-1
4.317027083E-1,2.965000631E-2,-1.222872064E-1,-1.419540238E-1
4.417377083E-1,3.991775354E-2,-9.403346032E-2,-1.830283749E-1
4.517727083E-1,6.766142137E-4,-3.333176047E-2,-1.457786876E-1
4.618067083E-1,1.877667027E-2,-6.420242786E-3,-5.746175766E-2
4.718417083E-1,7.958634261E-2,1.391988158E-2,2.135110795E-2
4.818767083E-1,8.115699610E-2,2.170457214E-2,6.134372413E-2
4.919117083E-1,1.141811747E-1,3.415621787E-2,3.140364110E-2
5.019467083E-1,1.040854087E-1,7.402311891E-2,1.406395698E-1
5.119817083E-1,8.206236435E-2,8.669345051E-2,1.828465265E-1
5.220157083E-1,5.813915759E-2,1.128293350E-1,1.787511367E-1
5.320507083E-1,6.614105394E-2,1.266167772E-1,1.985404533E-1
5.420857083E-1,1.623293411E-1,1.386298817E-1,1.487999439E-1
5.521207083E-1,1.555239861E-1,1.058559456E-1,9.964006305E-2
5.621557083E-1,9.206453836E-2,8.671128452E-2,1.723191994E-1
5.721907083E-1,-1.701660354E-2,1.002601603E-1,1.951367891E-1
5.822247083E-1,-6.332677078E-2,1.371940979E-1,1.466955310E-1
5.922597083E-1,-8.778216552E-2,1.914702925E-1,5.347980380E-2
6.022947083E-1,-1.217805817E-1,1.439923632E-1,-5.363592446E-2
6.123297083E-1,-6.127549443E-2,9.213779300E-2,-9.256727099E-2
6.223647083E-1,2.628449516E-2,7.200085938E-2,-1.087722445E-1
6.323987083E-1,4.741746543E-2,2.583563000E-2,-1.263758719E-1
6.424337083E-1,5.079432383E-2,-4.485691488E-3,-1.825617671E-1
6.524687083E-1,5.670960473E-2,9.739122391E-3,-1.929008138E-1
6.625037083E-1,8.586119073E-2,-2.842273057E-2,-1.689979810E-1
6.725387083E-1,7.266936058E-2,-9.574464798E-2,-1.265080190E-1
6.825737083E-1,4.963273790E-2,-8.573450714E-2,-9.226321578E-2
