"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.983569622E-1,6.505096062E1,2.546866468E1,1.318000031E1,NaN,NaN,2.998570534E1,3.000000000E1
3.290998578E0,6.505103998E1,2.546827214E1,1.564160402E1,1.937573701E-1,NaN,9.686749856E0,1.944531059E1
4.290992618E0,6.505103938E1,2.546824914E1,1.672322687E1,1.614094824E-1,NaN,1.400000000E1,1.637614822E1
5.290978432E0,6.505104111E1,2.546824627E1,1.673515062E1,2.391507626E-1,NaN,1.400000000E1,1.440183544E1
6.290972710E0,6.505104542E1,2.546824834E1,1.650979143E1,2.391507626E-1,NaN,1.400000000E1,1.209043884E1
7.884964228E0,6.505105297E1,2.546825066E1,1.330991837E1,7.987613678E-1,3.497213949E2,5.014333066E0,9.279489517E0
8.884958863E0,6.505106520E1,2.546824489E1,1.305303015E1,9.796806574E-1,3.479557091E2,4.823288704E0,8.334796906E0
9.885678768E0,6.505107547E1,2.546823829E1,1.208342423E1,9.796806574E-1,3.418546836E2,4.808502440E0,7.889480591E0
1.088568318E1,6.505108635E1,2.546823633E1,1.134833371E1,1.058087826E0,3.427880972E2,4.952431853E0,7.708520412E0
1.188567853E1,6.505109803E1,2.546822819E1,1.119325676E1,1.217971087E0,3.429568302E2,5.104122011E0,7.479003429E0
1.288567722E1,6.505111311E1,2.546821599E1,1.060460989E1,1.379931211E0,3.448140679E2,5.277297887E0,7.413062572E0
1.388567758E1,6.505112818E1,2.546820855E1,1.042045563E1,1.379931211E0,3.510410968E2,5.318382907E0,7.315689564E0
1.488566649E1,6.505114014E1,2.546820483E1,1.040234037E1,1.389500380E0,3.505961236E2,5.190887085E0,7.162724972E0
1.588565922E1,6.505115244E1,2.546820000E1,1.040174550E1,1.389500380E0,3.505961192E2,5.190887085E0,7.162724972E0
1.688565361E1,6.505116438E1,2.546819640E1,1.035111507E1,1.390160084E0,3.521941657E2,5.228844706E0,7.072035313E0
1.788563788E1,6.505117888E1,2.546818678E1,1.050903825E1,1.414485931E0,3.477522456E2,4.748651530E0,6.681638531E0
1.888563013E1,6.505119751E1,2.546817485E1,1.039130199E1,1.505885720E0,3.452867643E2,4.748651530E0,6.799828657E0
1.988562548E1,6.505121544E1,2.546815961E1,1.087817445E1,1.505885720E0,3.470114972E2,4.748651530E0,6.785331900E0
2.088560843E1,6.505123550E1,2.546815723E1,1.134031501E1,1.597988486E0,3.481482321E2,4.748651530E0,7.353259485E0
2.188560236E1,6.505124989E1,2.546815359E1,1.123404107E1,1.610242844E0,3.460613623E2,4.748651530E0,7.550642711E0
2.288559508E1,6.505126173E1,2.546814968E1,1.118856289E1,1.536910295E0,3.492769080E2,4.748651530E0,7.589583306E0
2.388557780E1,6.505127390E1,2.546814219E1,1.107295990E1,1.576841474E0,3.482691813E2,4.748651530E0,6.713894759E0
2.488555849E1,6.505128849E1,2.546813620E1,1.097950432E1,1.576841474E0,3.503204794E2,4.748651530E0,6.968216956E0
2.588554060E1,6.505130268E1,2.546813205E1,1.098832899E1,1.579941273E0,3.509485293E2,4.748651530E0,7.149093834E0
2.688552284E1,6.505131736E1,2.546812750E1,1.107192128E1,1.579941273E0,3.514264515E2,4.748651530E0,6.149565826E0
2.788550663E1,6.505133032E1,2.546812343E1,1.109317905E1,1.559682965E0,3.527477114E2,4.748651530E0,6.341682812E0
2.888549030E1,6.505134137E1,2.546811607E1,1.111241631E1,1.559682965E0,3.493365765E2,4.748651530E0,6.671148704E0
2.988547444E1,6.505135326E1,2.546810648E1,1.121665872E1,1.532102704E0,3.466118762E2,4.748651530E0,5.833834879E0
3.088545978E1,6.505136570E1,2.546809799E1,1.083661294E1,1.531213284E0,3.467570314E2,4.748651530E0,6.033054592E0
3.188544488E1,6.505137879E1,2.546809316E1,1.090380206E1,1.529538631E0,3.511534625E2,4.748651530E0,6.197613325E0
3.288543165E1,6.505139031E1,2.546808732E1,1.088580378E1,1.490496874E0,3.500386932E2,4.748651530E0,6.293741597E0
3.388541818E1,6.505140379E1,2.546808127E1,1.077359536E1,1.511343956E0,3.482207964E2,4.748651530E0,6.392904086E0
3.488540506E1,6.505141789E1,2.546807492E1,1.099426418E1,1.511343956E0,3.490306387E2,4.748651530E0,6.588416539E0
3.588539267E1,6.505144328E1,2.546806656E1,1.346137383E1,1.494773795E0,3.516920739E2,1.999999976E0,3.000000000E0
3.688538039E1,6.505145661E1,2.546806498E1,1.360158074E1,1.567596974E0,3.520152259E2,1.999999958E0,3.000000000E0
3.788536847E1,6.505147017E1,2.546805834E1,1.374211133E1,1.535151697E0,3.528361352E2,1.999999953E0,3.000000000E0
3.888535714E1,6.505148341E1,2.546804734E1,1.241675378E1,1.556199591E0,3.472746653E2,1.999999940E0,3.000000000E0
3.988534570E1,6.505149490E1,2.546803742E1,1.170788508E1,1.518972359E0,3.439001312E2,2.055828034E0,3.000000000E0
4.088533437E1,6.505151062E1,2.546802794E1,1.215731575E1,1.625060095E0,3.443404166E2,2.046523319E0,3.000000000E0
4.188532543E1,6.505152452E1,2.546801951E1,1.301434241E1,1.587974611E0,3.442274809E2,2.039877141E0,3.000000000E0
4.288531399E1,6.505153754E1,2.546801238E1,1.337595250E1,1.576273784E0,3.450799154E2,2.045397729E0,3.000000000E0
4.388530385E1,6.505155112E1,2.546801095E1,1.322571431E1,1.588137037E0,3.505147784E2,2.040353520E0,3.000000000E0
4.488529432E1,6.505156434E1,2.546800679E1,1.254749864E1,1.606170760E0,3.516393703E2,2.036318145E0,3.000000000E0
4.588528526E1,6.505157724E1,2.546799491E1,1.286264616E1,1.631529904E0,3.463433178E2,2.033016470E0,3.000000000E0
4.688527584E1,6.505158813E1,2.546799530E1,1.274301070E1,1.552010630E0,3.505897921E2,2.030265099E0,3.000000000E0
4.788526642E1,6.505159844E1,2.546800106E1,1.203900693E1,1.504325536E0,3.596007782E2,2.091340331E0,3.000000000E0
4.888525784E1,6.505160373E1,2.546800117E1,9.973510882E0,1.070152472E0,3.363966687E0,2.104272783E0,3.000000000E0
4.988524926E1,6.505161122E1,2.546801177E1,9.115814331E0,1.010007726E0,1.467550975E1,2.163385036E0,3.000000000E0
5.088524079E1,6.505163296E1,2.546800738E1,9.810941448E0,1.651100325E0,4.347895779E0,2.153173404E0,3.000000000E0
5.188523114E1,6.505164582E1,2.546799868E1,1.005787544E1,1.600341615E0,3.562460694E2,2.180689110E0,3.000000000E0
5.288524091E1,6.505165946E1,2.546798596E1,1.067713399E1,1.562133567E0,3.497870961E2,2.244709455E0,3.000000000E0
5.388521564E1,6.505167389E1,2.546798494E1,1.085327328E1,1.602925157E0,3.544569690E2,2.408051659E0,3.042463166E0
5.488520777E1,6.505168811E1,2.546798678E1,1.129922605E1,1.605085317E0,3.597743996E2,2.414184558E0,3.121571671E0
5.588519931E1,6.505170375E1,2.546798969E1,1.130466141E1,1.614534470E0,4.602311601E0,2.423951177E0,3.278628099E0
5.688519180E1,6.505171782E1,2.546799280E1,1.228947665E1,1.595749196E0,4.205327991E0,2.417219355E0,3.317309583E0
5.788518345E1,6.505173319E1,2.546799406E1,1.312298576E1,1.577751389E0,3.458015064E0,2.455552116E0,3.352273829E0
5.888517535E1,6.505174751E1,2.546799603E1,1.216195268E1,1.576207123E0,1.240806636E0,2.445103497E0,3.523795828E0
5.988516796E1,6.505175785E1,2.546798805E1,1.036314283E1,1.445378292E0,3.576697439E2,2.431460848E0,3.398042439E0
6.088516092E1,6.505177339E1,2.546797987E1,1.088361527E1,1.569364233E0,3.535876864E2,2.409887775E0,3.452249299E0
6.188515329E1,6.505178998E1,2.546797006E1,1.216062092E1,1.598029686E0,3.506048436E2,2.408873797E0,3.480843557E0
6.288514590E1,6.505180365E1,2.546795845E1,1.349079308E1,1.528769823E0,3.453626233E2,2.404357199E0,3.253239483E0
6.388513947E1,6.505181713E1,2.546794739E1,1.346503206E1,1.586610283E0,3.440712910E2,2.384139345E0,3.138782232E0
6.488513160E1,6.505182962E1,2.546793127E1,1.388929706E1,1.586852675E0,3.373728698E2,2.364932380E0,3.059767747E0
6.588512421E1,6.505184182E1,2.546791608E1,1.411389430E1,1.599135225E0,3.336253758E2,2.355544844E0,3.018427234E0
6.688511682E1,6.505185031E1,2.546788370E1,1.389827261E1,1.606994349E0,3.199199207E2,2.381972755E0,3.064663437E0
6.788511038E1,6.505185790E1,2.546785496E1,1.356221943E1,1.615137533E0,3.117659939E2,2.362874106E0,3.000000000E0
6.888510346E1,6.505186426E1,2.546782904E1,1.252997723E1,1.500831149E0,3.067763524E2,2.366753349E0,3.000000000E0
6.988509572E1,6.505187324E1,2.546780194E1,1.264360633E1,1.571695348E0,3.084518853E2,2.348415663E0,3.000000000E0
7.088508928E1,6.505188196E1,2.546777608E1,1.266671576E1,1.594238772E0,3.118741033E2,2.330994873E0,3.000000000E0
7.188508201E1,6.505188867E1,2.546774148E1,1.339228323E1,1.630528179E0,3.087025410E2,2.314445136E0,3.000000000E0
7.288507557E1,6.505189559E1,2.546771379E1,1.398281924E1,1.582117084E0,3.061358637E2,2.298722907E0,3.000000000E0
7.388506901E1,6.505190457E1,2.546768582E1,1.471269738E1,1.571528930E0,3.058137932E2,2.317883234E0,3.000000000E0
7.488506198E1,6.505190928E1,2.546765381E1,1.475778231E1,1.603101898E0,3.004162160E2,2.301989066E0,3.000000000E0
7.588505566E1,6.505191637E1,2.546762698E1,1.440954595E1,1.583370919E0,3.010744476E2,2.286889596E0,3.000000000E0
7.688504899E1,6.505192144E1,2.546759921E1,1.431882836E1,1.565678193E0,2.997605656E2,2.280710076E0,3.000000000E0
7.788504112E1,6.505192423E1,2.546756136E1,1.395616728E1,1.694714279E0,2.971175657E2,2.278172678E0,3.000000000E0
7.888503480E1,6.505193039E1,2.546753402E1,1.458670918E1,1.595104700E0,2.989863349E2,2.268424303E0,3.000000000E0
7.988502812E1,6.505193636E1,2.546750670E1,1.499496847E1,1.593399036E0,3.004444030E2,2.255003093E0,3.000000000E0
8.088502157E1,6.505193530E1,2.546747082E1,1.581848826E1,1.566862582E0,2.875073966E2,2.267898617E0,3.000000000E0
8.188501585E1,6.505194059E1,2.546744180E1,1.635387390E1,1.575292504E0,2.896834337E2,2.308301166E0,3.000000000E0
8.288500881E1,6.505194997E1,2.546742123E1,1.653482020E1,1.581840309E0,2.968640614E2,2.328888217E0,3.000000000E0
8.388500249E1,6.505195807E1,2.546739722E1,1.618929863E1,1.582462985E0,3.006748638E2,2.386999480E0,3.000000000E0
8.488499546E1,6.505196601E1,2.546737293E1,1.680573915E1,1.570647879E0,3.009018230E2,2.367649506E0,3.000000000E0
8.588499069E1,6.505197201E1,2.546734514E1,1.628259869E1,1.595739443E0,2.997664203E2,2.414414770E0,3.037969039E0
8.688498366E1,6.505197780E1,2.546732243E1,1.487772133E1,1.526396233E0,2.990715625E2,2.403132719E0,3.020689409E0
8.788497615E1,6.505198275E1,2.546730912E1,1.286714081E1,1.261433131E0,3.012302861E2,2.386502756E0,3.000000000E0
8.888496971E1,6.505199038E1,2.546727640E1,1.346492119E1,1.537051569E0,2.999405101E2,2.368759334E0,3.000000000E0
8.988496411E1,6.505199609E1,2.546724635E1,1.377543969E1,1.591209121E0,2.978924137E2,2.374045829E0,3.018931979E0
9.088495684E1,6.505200129E1,2.546721494E1,1.442964514E1,1.583103893E0,2.961036433E2,2.355343556E0,3.000000000E0
9.188495123E1,6.505200688E1,2.546718196E1,1.474874707E1,1.584011079E0,2.975484083E2,2.337576385E0,3.000000000E0
9.288494384E1,6.505201523E1,2.546715430E1,1.492076869E1,1.583167613E0,3.020471031E2,2.320697555E0,3.100085388E0
9.388493812E1,6.505202371E1,2.546713419E1,1.434871342E1,1.571552285E0,3.061841167E2,2.304662656E0,3.174476848E0
9.488493145E1,6.505203388E1,2.546711062E1,1.459855863E1,1.583070465E0,3.113444335E2,2.303551364E0,3.104884277E0
9.588492501E1,6.505204661E1,2.546709341E1,1.446036207E1,1.594261743E0,3.173891739E2,2.288373794E0,3.067572641E0
9.688491893E1,6.505205496E1,2.546707193E1,1.352798998E1,1.528795994E0,3.196967435E2,2.273955081E0,3.087253410E0
9.788491189E1,6.505206569E1,2.546705184E1,1.362619712E1,1.554794495E0,3.234668194E2,2.261552929E0,3.153790658E0
9.888490558E1,6.505207739E1,2.546703352E1,1.418848423E1,1.576703943E0,3.259701102E2,2.248475288E0,3.101826515E0
9.988489962E1,6.505208906E1,2.546702188E1,1.423298307E1,1.584428311E0,3.310430606E2,2.236051525E0,3.247238677E0
1.008848927E2,6.505209926E1,2.546700339E1,1.492394692E1,1.486600691E0,3.292656468E2,2.247678365E0,3.234837825E0
1.018848870E2,6.505211143E1,2.546698571E1,1.456942989E1,1.598069631E0,3.278473471E2,2.278093949E0,3.190217337E0
1.028848797E2,6.505212164E1,2.546696648E1,1.468650017E1,1.596032988E0,3.256024657E2,2.268797794E0,3.171517779E0
1.038848737E2,6.505213240E1,2.546694870E1,1.438407918E1,1.599353330E0,3.252482283E2,2.255357904E0,3.184378439E0
1.048848680E2,6.505214431E1,2.546693395E1,1.421048999E1,1.552787013E0,3.289056533E2,2.267281926E0,3.254715411E0
1.058848628E2,6.505215545E1,2.546691945E1,1.299392918E1,1.514823671E0,3.298852938E2,2.259695077E0,3.241611470E0
