"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.149500004E-3,-1.365614292E0,-1.528380895E0,-1.480737782E0
1.418350001E-2,-1.155141426E0,-1.558716542E0,-1.920579962E0
2.421750000E-2,-1.056279042E0,-1.508076439E0,-2.357985021E0
3.425150001E-2,-1.088694544E0,-1.318652672E0,-2.657701601E0
4.428550000E-2,-1.171623557E0,-1.103538578E0,-2.947006629E0
5.431950001E-2,-1.332074663E0,-8.643859962E-1,-3.252590890E0
6.435350001E-2,-1.454996292E0,-7.244115472E-1,-3.296928572E0
7.438850001E-2,-1.335253502E0,-7.920331344E-1,-2.771320603E0
8.442250000E-2,-8.292901307E-1,-9.996291706E-1,-1.454794856E0
9.445650001E-2,-3.962622964E-1,-1.081978725E0,-3.638722301E-3
1.044905000E-1,-6.474534184E-2,-1.144386350E0,8.029577798E-1
1.145245000E-1,5.635604918E-2,-1.124370453E0,1.344863693E0
1.245585000E-1,1.354858339E-1,-9.911983627E-1,1.512182938E0
1.345925000E-1,5.652474135E-2,-7.667904121E-1,1.158773716E0
1.446267500E-1,-1.631849715E-1,-5.868663239E-1,8.759596825E-1
1.546607500E-1,-2.819085923E-1,-4.815772659E-1,4.999965799E-1
1.646947500E-1,-3.480701298E-1,-4.525955415E-1,2.778596878E-3
1.747287500E-1,-4.879106775E-1,-4.819199127E-1,-3.882767540E-1
1.847637500E-1,-5.382022870E-1,-5.949612093E-1,-5.314551848E-1
1.947977500E-1,-4.661255600E-1,-7.215043116E-1,-1.959583229E-1
2.048317500E-1,-1.708525716E-1,-8.924043918E-1,2.970063955E-1
2.148657500E-1,4.521900371E-2,-9.539665094E-1,5.515532345E-1
2.248997500E-1,7.394023463E-2,-8.119905585E-1,6.483228993E-1
2.349337500E-1,9.339099750E-2,-7.444300747E-1,6.901948106E-1
2.449677500E-1,6.682709679E-2,-7.080524996E-1,7.321532607E-1
2.550017500E-1,-7.990936473E-2,-7.415161148E-1,6.782600588E-1
2.650357500E-1,-1.968577708E-1,-5.799967226E-1,4.976541853E-1
2.750697500E-1,-2.617261966E-1,-4.494257659E-1,4.008354038E-1
2.851037500E-1,-3.872146073E-1,-4.043232679E-1,3.356021118E-1
2.951377500E-1,-5.307374391E-1,-2.808496615E-1,3.505113423E-1
3.051727500E-1,-4.976305041E-1,-2.241274305E-1,3.804040629E-1
3.152067500E-1,-4.720644307E-1,-2.555848660E-1,4.838781452E-1
3.252407500E-1,-4.667121819E-1,-3.078043024E-1,6.020965666E-1
3.352747500E-1,-3.528660160E-1,-4.251357011E-1,6.813561594E-1
3.453087500E-1,-2.778707975E-1,-5.111381570E-1,7.476840502E-1
3.553427500E-1,-3.213384140E-1,-5.257708141E-1,7.387185144E-1
3.653767500E-1,-5.448365378E-1,-4.753442802E-1,6.057884985E-1
3.754107500E-1,-7.471072224E-1,-4.569194113E-1,2.566448200E-1
3.854447500E-1,-7.720893051E-1,-4.381264602E-1,-1.631706458E-1
3.954787500E-1,-7.058070226E-1,-3.988533439E-1,-5.144193220E-1
4.055127500E-1,-5.897425693E-1,-2.945556812E-1,-6.442023665E-1
4.155467500E-1,-4.806857117E-1,-2.505501209E-1,-7.500486642E-1
4.255817500E-1,-3.196707880E-1,-1.850360164E-1,-7.715810359E-1
4.356157500E-1,-1.280129461E-1,-6.273682326E-2,-5.193877012E-1
4.456497500E-1,2.112657487E-2,-4.517675757E-2,-3.468907464E-1
